log_time,fuente,hora_inicio,hora_fin,registros,archivo,duracion_segundos,resultado,error,mensaje
2025-06-05 23:55:45+02:00,Pokémon Showdown - Pokedex,21:55:42,21:55:45,1425,pokemon_pokedex.parquet,2.46,Éxito,,2025-06-05 21:55:45 - INFO - 🔍 Fuente: Pokémon Showdown - Pokedex | 🕒 Inicio: 21:55:42 | 🕕 Fin: 21:55:45 | 📊 Registros: 1425 | 📁 Archivo: pokemon_pokedex.parquet | ⏱ Tiempo total: 2.46 s | 📌 Resultado: Éxito
2025-06-05 23:57:38+02:00,Pokémon Showdown - Pokedex,21:57:36,21:57:38,1425,pokemon_pokedex.parquet,1.8,Éxito,,2025-06-05 21:57:38 - INFO - 🔍 Fuente: Pokémon Showdown - Pokedex | 🕒 Inicio: 21:57:36 | 🕕 Fin: 21:57:38 | 📊 Registros: 1425 | 📁 Archivo: pokemon_pokedex.parquet | ⏱ Tiempo total: 1.8 s | 📌 Resultado: Éxito
2025-06-06 00:01:48+02:00,Pokémon Showdown - Moves,22:01:47,22:01:48,952,pokemon_moves.parquet,1.02,Éxito,,2025-06-05 22:01:48 - INFO - 🔍 Fuente: Pokémon Showdown - Moves | 🕒 Inicio: 22:01:47 | 🕕 Fin: 22:01:48 | 📊 Registros: 952 | 📁 Archivo: pokemon_moves.parquet | ⏱ Tiempo total: 1.02 s | 📌 Resultado: Éxito
2025-06-06 00:03:20+02:00,Pokémon Showdown - Moves,22:03:20,22:03:20,952,pokemon_moves.parquet,0.39,Éxito,,2025-06-05 22:03:20 - INFO - 🔍 Fuente: Pokémon Showdown - Moves | 🕒 Inicio: 22:03:20 | 🕕 Fin: 22:03:20 | 📊 Registros: 952 | 📁 Archivo: pokemon_moves.parquet | ⏱ Tiempo total: 0.39 s | 📌 Resultado: Éxito
2025-06-06 00:04:57+02:00,Pokémon Showdown - Moves,22:04:57,22:04:57,952,pokemon_moves.parquet,0.48,Éxito,,2025-06-05 22:04:57 - INFO - 🔍 Fuente: Pokémon Showdown - Moves | 🕒 Inicio: 22:04:57 | 🕕 Fin: 22:04:57 | 📊 Registros: 952 | 📁 Archivo: pokemon_moves.parquet | ⏱ Tiempo total: 0.48 s | 📌 Resultado: Éxito
2025-06-06 00:06:16+02:00,Pokémon Showdown - Moves,22:06:15,22:06:16,952,pokemon_moves.parquet,0.52,Éxito,,2025-06-05 22:06:16 - INFO - 🔍 Fuente: Pokémon Showdown - Moves | 🕒 Inicio: 22:06:15 | 🕕 Fin: 22:06:16 | 📊 Registros: 952 | 📁 Archivo: pokemon_moves.parquet | ⏱ Tiempo total: 0.52 s | 📌 Resultado: Éxito
2025-06-06 00:07:00+02:00,Pokémon Showdown - Moves,22:07:00,22:07:00,952,pokemon_moves.parquet,0.52,Éxito,,2025-06-05 22:07:00 - INFO - 🔍 Fuente: Pokémon Showdown - Moves | 🕒 Inicio: 22:07:00 | 🕕 Fin: 22:07:00 | 📊 Registros: 952 | 📁 Archivo: pokemon_moves.parquet | ⏱ Tiempo total: 0.52 s | 📌 Resultado: Éxito
2025-06-06 00:07:58+02:00,Pokémon Showdown - Moves,22:07:58,22:07:58,952,pokemon_moves.parquet,0.5,Éxito,,2025-06-05 22:07:58 - INFO - 🔍 Fuente: Pokémon Showdown - Moves | 🕒 Inicio: 22:07:58 | 🕕 Fin: 22:07:58 | 📊 Registros: 952 | 📁 Archivo: pokemon_moves.parquet | ⏱ Tiempo total: 0.5 s | 📌 Resultado: Éxito
2025-06-06 00:10:03+02:00,Pokémon Showdown - Moves,22:10:02,22:10:03,952,pokemon_moves.parquet,0.62,Éxito,,2025-06-05 22:10:03 - INFO - 🔍 Fuente: Pokémon Showdown - Moves | 🕒 Inicio: 22:10:02 | 🕕 Fin: 22:10:03 | 📊 Registros: 952 | 📁 Archivo: pokemon_moves.parquet | ⏱ Tiempo total: 0.62 s | 📌 Resultado: Éxito
2025-06-06 00:20:47+02:00,RAWG,22:18:43,22:20:47,3240,rawg_games.parquet,123.98,Éxito,,2025-06-05 22:20:47 - INFO - 🔍 Fuente: RAWG | 🕒 Inicio: 22:18:43 | 🕕 Fin: 22:20:47 | 📊 Registros: 3240 | 📁 Archivo: rawg_games.parquet | ⏱ Tiempo total: 123.98 s | 📌 Resultado: Éxito
2025-06-06 00:25:46+02:00,Giant Bomb,22:20:52,22:25:46,5000,giantbomb_games.parquet,294.39,Éxito,,2025-06-05 22:25:46 - INFO - 🔍 Fuente: Giant Bomb | 🕒 Inicio: 22:20:52 | 🕕 Fin: 22:25:46 | 📊 Registros: 5000 | 📁 Archivo: giantbomb_games.parquet | ⏱ Tiempo total: 294.39 s | 📌 Resultado: Éxito
2025-06-06 00:30:09+02:00,RAWG,22:30:04,22:30:09,80,rawg_games.parquet,4.19,Éxito,,2025-06-05 22:30:09 - INFO - 🔍 Fuente: RAWG | 🕒 Inicio: 22:30:04 | 🕕 Fin: 22:30:09 | 📊 Registros: 80 | 📁 Archivo: rawg_games.parquet | ⏱ Tiempo total: 4.19 s | 📌 Resultado: Éxito
2025-06-06 00:30:17+02:00,RAWG,22:30:16,22:30:17,0,rawg_games.parquet,1.07,Éxito,,2025-06-05 22:30:17 - INFO - 🔍 Fuente: RAWG | 🕒 Inicio: 22:30:16 | 🕕 Fin: 22:30:17 | 📊 Registros: 0 | 📁 Archivo: rawg_games.parquet | ⏱ Tiempo total: 1.07 s | 📌 Resultado: Éxito
2025-06-06 00:30:47+02:00,RAWG,22:30:46,22:30:47,0,rawg_games.parquet,1.35,Éxito,,2025-06-05 22:30:47 - INFO - 🔍 Fuente: RAWG | 🕒 Inicio: 22:30:46 | 🕕 Fin: 22:30:47 | 📊 Registros: 0 | 📁 Archivo: rawg_games.parquet | ⏱ Tiempo total: 1.35 s | 📌 Resultado: Éxito
